date,count,fatal,injury
20130515,604,0,72
20130516,674,0,115
20130517,887,0,146
20130518,604,0,98
20130519,647,0,103
20130520,788,0,131
20130521,825,0,128
20130522,675,0,105
20130523,876,0,141
20130524,809,0,141
20130525,615,0,101
20130526,565,0,110
20130527,525,0,105
20130528,807,0,121
20130529,687,0,113
20130530,816,0,131
20130531,853,0,117
20130601,754,0,123
20130602,575,0,88
20130603,838,0,131
20130604,758,0,145
20130605,711,0,112
20130606,742,0,137
20130607,954,0,163
20130608,687,0,116
20130609,657,0,124
20130610,739,0,115
20130611,757,0,122
20130612,750,0,135
20130613,632,0,98
20130614,828,0,135
20130615,719,0,123
20130616,589,0,112
20130617,747,0,133
20130618,721,0,108
20130619,765,0,143
20130620,805,0,124
20130621,828,0,138
20130622,741,0,142
20130623,603,0,98
20130624,806,0,126
20130625,787,0,139
20130626,733,0,112
20130627,713,0,115
20130628,722,0,114
20130629,708,0,117
20130630,497,0,74
20130701,763,0,130
20130702,706,0,105
20130703,755,0,120
20130704,547,0,109
20130705,707,0,132
20130706,620,0,103
20130707,587,0,112
20130708,725,0,108
20130709,688,0,105
20130710,723,0,109
20130711,664,0,114
20130712,711,0,112
20130713,689,0,114
20130714,572,0,101
20130715,704,0,123
20130716,697,0,115
20130717,719,0,110
20130718,763,0,127
20130719,819,0,122
20130720,674,0,123
20130721,553,0,106
20130722,706,0,115
20130723,693,0,122
20130724,697,0,126
20130725,607,0,101
20130726,735,0,118
20130727,624,0,108
20130728,606,0,121
20130729,719,0,122
20130730,702,0,118
20130731,679,0,126
20130801,772,0,129
20130802,747,0,121
20130803,608,0,116
20130804,559,0,105
20130805,663,0,119
20130806,675,0,133
20130807,595,0,87
20130808,656,0,107
20130809,692,0,113
20130810,603,0,108
20130811,584,0,103
20130812,613,0,94
20130813,653,0,101
20130814,757,0,135
20130815,717,0,118
20130816,828,0,150
20130817,615,0,111
20130818,530,0,88
20130819,559,0,97
20130820,667,0,125
20130821,672,0,110
20130822,690,0,113
20130823,769,0,133
20130824,646,0,119
20130825,555,0,96
20130826,637,0,116
20130827,611,0,105
20130828,577,0,95
20130829,702,0,130
20130830,719,0,120
20130831,580,0,100
20130901,594,0,114
20130902,539,0,108
20130903,666,0,116
20130904,740,0,136
20130905,584,0,91
20130906,641,0,117
20130907,705,0,120
20130908,618,0,118
20130909,754,0,122
20130910,761,0,132
20130911,682,0,105
20130912,839,0,144
20130913,772,0,120
20130914,629,0,110
20130915,571,0,95
20130916,664,0,94
20130917,772,0,145
20130918,693,0,122
20130919,655,0,119
20130920,777,0,146
20130921,665,0,119
20130922,722,0,137
20130923,817,0,156
20130924,759,0,144
20130925,637,0,98
20130926,610,0,94
20130927,668,0,115
20130928,659,0,112
20130929,607,0,101
20130930,742,0,137
20131001,745,0,129
20131002,787,0,140
20131003,701,0,111
20131004,789,0,131
20131005,586,0,89
20131006,492,0,88
20131007,734,0,116
20131008,671,0,97
20131009,637,0,108
20131010,659,0,100
20131011,737,0,116
20131012,679,0,123
20131013,603,0,101
